Ticker,Last Close,1W %,1M %,3M %,6M %
AEG,9.140000343322754,2.732116903415044,-0.7429583470859716,16.731794519078015,36.51682696450856
AEHL,8.170000076293945,25.885984043514586,64.71774220683696,-56.35683559846275,-77.70196448583418
AEHR,86.26000213623047,8.817971223889872,-13.515135368210851,-24.72292094165334,113.04025329814907
AEI,1.409999966621399,-0.7042247017941755,13.709673852999948,1.0752678064499148,-16.56805213720382
AEM,204.72999572753906,1.0214112444609151,22.19187730745892,19.536612026142137,-7.133517624073884
AEO,17.389999389648438,4.570055726008839,-1.862302124680974,7.229520717384406,-8.741650503336997
AEP,124.5,1.690761814640548,0.14998134899256943,-0.6825491760470745,-4.302533793709622
AER,145.39999389648438,-0.370020923590627,-6.086983431713213,8.394469875820414,3.8096182254740043
AES,14.789999961853027,0.33921432504249155,0.6122459439160346,1.7497669558024331,6.553734905687017
AFB,10.600000381469727,-2.2965815644968,-2.5647557567490806,-3.8887053789921326,0.027439158009322836
AFCG,3.569999933242798,-0.8333325606805102,29.34782411515825,3.5987427284149462,43.811487293182324
AFG,142.72000122070312,0.11925511420970553,-2.732907124376969,11.442052098363273,9.895767426466001
AFL,117.20999908447266,1.173932350681354,-6.9948653585325635,2.882363139985772,6.637522358519137
AFRM,72.3499984741211,-2.820683089592358,-5.523639665438405,9.174592031144787,37.809520903087794
AFYA,14.680000305175781,0.5479446686014496,5.535589261037461,1.241381415005388,11.000648779710769
AG,20.969999313354492,1.8455520055877255,21.451161181473193,6.154585906297206,-20.03899604068511
AGCO,133.39999389648438,12.754624840911868,31.657613780275877,11.857235271057176,5.196514082522059
AGD,12.180000305175781,-2.55999755859375,1.3083181033607472,-0.14106666162093898,7.432046685242627
AGEN,8.239999771118164,8.278575907367522,10.013351440837685,155.90061173616186,182.1917656103744
AGI,36.970001220703125,0.9833395366012955,18.874600537725115,-2.0771067216487844,-24.980080924124366
AGIO,33.099998474121094,-1.7220956823018663,3.599366772208612,19.58091802452707,19.58091802452707
AGL,88.5,0.6940500791759109,1.9232962498315174,7.013305037227203,432.3308270676692
AGM,227.77999877929688,3.583449341304634,-3.8578420818367536,31.539206601584624,43.23219783822652
AGNC,10.649999618530273,-0.7455724801399315,1.4943683080203327,8.242800910736042,4.560428633438787
AGO,75.69000244140625,1.3253086125960798,-7.866939922072431,3.9266055353411677,-11.427366412172848
AGRO,11.770000457763672,3.4270680087942513,25.747872750905255,-3.4454400088373305,22.405753171761344
AGX,417.989990234375,-1.6470976166143618,-29.258552018456303,-39.0514328860261,-2.6907938986192756
AGYS,111.36000061035156,-4.33811776728047,3.513663055363249,26.04414548232325,39.63636440169475
AHCO,6.489999771118164,16.10017162725154,7.361450607243633,-33.23045686394806,-32.39583840386715
AHT,3.140000104904175,-1.8749981839210066,-3.0864168005624912,3.289478431117891,-1.2578604092237398
AI,10.460000038146973,-3.327168824685393,6.0851967785151295,-2.3342670318351804,11.39509750481636
AIG,76.20999908447266,-0.19643992231525945,-4.701765760705098,5.742858358727224,-3.623130725725087
AIHS,1.9952000379562378,7.848649310438706,,,52.30535306153129
AIN,62.43000030517578,13.200367898688276,2.4105798411294215,-1.2170135875082904,6.739950912660447
AIR,126.54000091552734,-2.126995524332217,-13.565569541621372,13.631465716573201,14.298619783183508
AIRG,5.25,-0.19011841153401954,-7.894733760055199,-24.351585638132132,28.048783466264293
AIRI,2.609999895095825,-1.8797063579510669,-0.3816790419867876,-13.861388787449519,-24.78386531480356
AIRT,31.75,-0.06295391084511093,-7.3263235391217485,47.674418604651166,51.913878370839505
AIT,325.57000732421875,0.4907698882563846,-9.159688559025634,4.034894274416967,18.76294274167818
AIV,2.559999942779541,1.9920299803290422,-3.3962320509053336,-14.093969074552762,-15.476356066765806
AIZ,285.739990234375,1.3765717322283224,-3.2985854706742486,15.774273300088613,26.598488572895018
AJG,262.69000244140625,0.20599220198155305,4.349724600502375,30.15525122716671,15.118756398076885
AKAM,105.22000122070312,-3.1301799299447124,-11.244202014263074,-34.38513293825034,4.178219030399133
AKR,20.290000915527344,-0.8793278156571246,-2.027997042550362,-5.963930783651884,-3.179498941489778
AKTS,27.049999237060547,4.39984328970307,15.401018006623804,39.64893167310311,31.694245527574093
AKTX,11.470000267028809,9.971236159378998,41.955450189755226,-23.45678658779395,16.093118766910706
ALB,126.27999877929688,-6.438469558280841,0.685696557891119,-24.793661352351457,-22.57915258740369
ALC,70.5,-2.164859299815099,1.380499096683649,9.77888299583579,-14.147881647410603
ALCO,40.43000030517578,1.7618947168506598,5.533800198093408,1.2730217709894749,1.497620353915434
ALDX,1.4800000190734863,0.0,-6.918239748170006,-20.430107113391298,-68.17204325333374
ALG,173.55999755859375,5.456310382568377,4.4472524950833865,15.856234891459911,0.6527404053425534
ALGM,36.61000061035156,0.9931051320043103,-13.767520830555387,-31.067595199356894,11.683959651254265
ALGN,158.63999938964844,-0.7196908096898805,-6.174593286223131,-1.8984646569527883,-9.658317838479642
ALGS,6.210000038146973,5.9726944822211765,12.704170239339357,20.81712450302017,-6.756754047674553
ALGT,78.16000366210938,2.774491158028681,-19.56364604822167,-5.808627982444486,-7.096153317734774
ALIT,14.920000076293945,4.2627507951784205,-4.297627131085868,3.0386778174556652,-21.473683808979235
ALK,42.040000915527344,1.7178781829599983,-17.06450571222522,0.40602337707039804,-4.018261078059594
ALKS,46.099998474121094,-1.8940267558099446,-4.692992573682531,7.811039017057032,62.61022170656905
ALL,259.57000732421875,0.6865863518470948,-5.2559632527799405,24.510510380828617,23.81788867513204
ALLE,157.1199951171875,1.2045057115539453,-6.8642572854387645,21.257158159150332,4.009527205363195
ALLO,1.9700000286102295,-1.4999985694885254,0.0,-1.4999985694885254,-14.718611367591711
ALLT,7.639999866485596,-1.0362684699511977,0.3942146181978726,0.3942146181978726,9.77011242258076
ALLY,43.72999954223633,3.6010435696095957,-0.748982797932306,7.5832411041672945,11.11136204105425
ALNY,266.1099853515625,10.56129571328768,23.130664151305737,-9.04709906197401,-16.9729564620596
ALOT,28.989999771118164,0.27672059539362437,2.077465353918282,111.60584069141805,221.75359638937434
ALRM,56.47999954223633,-1.876306124544031,0.33753530577146273,25.539002967561338,12.622129259738813
ALRS,33.790000915527344,2.7051651926166946,0.5954175707976124,21.205320154956127,41.87137977841221
ALSN,131.24000549316406,4.399018732770365,13.158491973536979,10.487545953273013,8.228358641201318
ALT,3.4200000762939453,9.967851821698162,13.621265353146631,19.163770476169272,-2.4251079991913493
ALTO,4.039999961853027,2.020200074126503,-10.619469493340473,-26.943945595382907,0.4975119657066306
ALV,125.19999694824219,3.291805869075913,4.580282610348444,-3.318164518405837,15.049376992261507
ALX,262.4200134277344,-3.4013068209583395,-2.1942815988083573,6.693583939170487,16.520535727473263
ALXO,2.009999990463257,4.145080056452086,-4.739332208735815,20.359283959033405,-5.633808334754891
AM,22.600000381469727,0.8028559525568724,5.165196008253876,7.363591511424403,0.934948123178212
AMAL,49.16999816894531,2.28832635969318,-1.9541442215667382,21.107020327130137,28.62568731700361
AMAT,454.7099914550781,-0.8028148685092478,-13.703606660071047,-9.10073834305075,31.52168943060754
AMBA,62.88999938964844,-9.354278063840374,-24.943312206129683,-14.783202182875133,13.499367556099493
AMBO,1.9900000095367432,-0.9950239314132612,-2.9268265451297886,-12.719296732107338,17.751475867385103
AMC,2.6500000953674316,0.3787875024959444,3.1128468561355356,44.808744984822965,119.00826543986847
AMCR,45.150001525878906,-0.19893090658763846,-2.680179733869089,20.90472076681598,6.572747336694746
AMCX,12.479999542236328,-0.873714130408106,5.139003054409169,32.20339085787959,50.724637013460516
AMD,477.57000732421875,1.4552188319492954,-2.3933108821724463,-11.971910688779666,139.443476877139
AME,237.72000122070312,1.0843232859686036,-5.434005647536426,4.314253691473703,5.120077039745616
