Ticker,3M %,1M %,1W %,6M %
DK,52.88472128156631,22.439942565698235,-3.3360180921545517,61.92893963901709
ADPT,51.84490953215087,2.881357178746932,-2.5682158414488137,52.4168249937619
AOUT,50.83332257138401,15.470491118698762,36.9914849602759,60.532137554085594
CRBP,50.13549799308418,13.757702095244062,1.558204204139104,38.154604629482094
CNMD,49.1832959652251,-0.9041606566215271,-1.0631871524971384,19.130429654681453
ASMB,48.96214460202476,38.37428135504389,8.831392541410676,32.32103642815247
DCBO,47.79236348146657,20.94727056355634,-6.669180093087809,30.162898392044017
AIRT,47.674418604651166,-7.3263235391217485,-0.06295391084511093,51.913878370839505
CHEF,47.2004080532779,4.782848863748688,1.6804475585802094,80.89212021859507
COMP,46.1235176144959,-11.60572374404958,5.3030250349432215,18.80342193844297
ARQQ,45.96994766451745,-0.4657590932426998,7.494978578305635,34.23367296998262
CGEM,45.233399718512466,23.06406247177496,0.09062282754975441,41.60256161805761
BHVN,45.14337623808933,8.80720871962544,2.750485330903119,52.18233697187974
ENVA,45.11013888475436,-9.915613461904742,1.7025408387299723,62.368854834337206
DSGN,45.01916620543479,9.949163689291394,0.33134652239409285,50.049555147327084
AMC,44.808744984822965,3.1128468561355356,0.3787875024959444,119.00826543986847
ANIK,44.413599488549956,3.224204481398904,-0.2875005791960457,46.035083971525495
DUOL,43.817508863488044,26.007508897536948,4.11162447992738,52.11739740121215
ESTC,43.22932877394675,31.25089573131267,-5.884167415267579,73.16106519412541
CLMT,42.17287285706542,26.862463498275872,6.836922495829185,75.40442212690587
DRTS,42.06048999390117,15.704387973806918,6.520199140179112,111.09550526054531
CERT,41.78571772210458,-2.3370240411555625,-4.221953030676907,11.048950368054927
CYCN,41.66666666666667,19.382024390756804,15.489128339746989,205.75539883011947
CIB,41.52340297989613,11.445985408370845,4.64003220664832,59.84136651094227
BLTE,41.08431584793693,20.501651096534943,24.340114483540823,12.192149500581278
ANTX,40.23809842782241,-3.125000980339564,6.126120073262805,244.44442895265928
AVTX,39.956330877517814,2.834217955473305,-0.568772541280685,9.385663399834849
BILL,39.65908744857338,4.595744356195977,-0.14218910313855132,8.929755559310426
AKTS,39.64893167310311,15.401018006623804,4.39984328970307,31.694245527574093
ACRS,39.592759497581945,1.3136276141480792,1.9834691202630563,97.75641995539127
BAX,39.37413594597507,-4.331860319458972,-0.653846447284405,38.99675169651189
ARKG,38.97406230642547,16.25154198909326,-0.19055717438109707,63.79429556970905
AVIR,38.47980690926842,16.83367116467147,8.97196313326761,9.999994601843687
AUTL,38.271605119965386,12.000000476837158,-4.680846789779938,50.84175003088605
AMTB,37.768597258363066,1.9931268594600655,3.378618083020889,37.61769813455288
BDL,37.192898397608744,1.512207278234569,0.25603317541446685,42.598708315148876
CGAU,37.15809153779338,15.971629094798926,0.0,25.382299914868824
DASH,36.971143239437524,-0.7174335640563996,-8.63468080232494,15.396773848823386
BJRI,36.57925079517085,-14.308198722750486,-5.81852611111981,67.15042235286853
BCLI,36.36363354877704,31.249992083758233,-1.8691681453631321,49.9999957425253
CRM,36.35122758977593,38.79638328227599,0.6562096704720223,29.375387808651514
EGO,36.32419028222624,19.93341543409181,-3.898132370550826,6.718693768907722
ABNB,36.19283436554892,19.98153730791047,-0.6986130175575178,33.927121286082794
ASRV,35.82496639443449,5.636742861727775,4.7619052320192905,36.49517820340203
DHT,35.822666610807765,21.315172907442097,6.47959404615297,24.41840751266341
ANGO,35.714286322496385,0.5956330551478123,-5.765650340289697,39.83440634124117
CFFI,35.66876695052114,7.050992828334662,4.263264654812449,31.56119773430892
BRZE,35.6536494437237,24.309608022408046,-6.1104634991531235,53.06513586708045
AMRX,35.45631482763198,-3.4864370304724015,-0.1717159729591014,31.523380339551206
CHCI,35.31669522503266,40.81224350161769,7.034409785161697,83.11687679015193
DYN,34.96387434993497,-6.182374520887348,-4.522216298582637,59.736848627101104
BBCP,34.44302275197074,8.471070960460349,16.279073205964824,54.86725184477249
CLWT,34.426225183215884,8.609271261766391,-1.2048181523292238,19.708027736259975
ADUS,34.207260711048555,-0.016835025485697874,3.566760297021442,13.515579256769229
BSVN,33.88521035105123,14.061573079676792,11.818535090906552,42.73150983145469
EQH,33.74039127347103,1.5142820457248918,5.645318085096588,34.95484168611387
BWMN,33.6799011063163,57.43969982933653,-0.3756746814718838,46.31034587991649
CZFS,33.35866722929675,0.7900833261231054,3.2113541805551282,38.895718912685204
CLDX,33.28854449119666,-4.523582786316839,0.1261651166110473,35.149861990076595
